target,text,indices,label
service,"best of all is the warm vibe , the owner is super friendly and $t$ is fast .",14,1
delivery,faan ' s got a great concept but a little rough on the $t$ .,13,-1
food,"from the incredible $t$ , to the warm atmosphere , to the friendly service , this downtown neighborhood spot doesn ' t miss a beat .",3,1
atmosphere,"from the incredible food , to the warm $t$ , to the friendly service , this downtown neighborhood spot doesn ' t miss a beat .",8,1
service,"from the incredible food , to the warm atmosphere , to the friendly $t$ , this downtown neighborhood spot doesn ' t miss a beat .",13,1
food,"great $t$ at reasonable prices , makes for an evening that can ' t be beat !",1,1
prices,"great food at reasonable $t$ , makes for an evening that can ' t be beat !",4,1
interior decor,this little place has a cute $t$ and affordable city prices .,6,1
prices,this little place has a cute interior decor and affordable city $t$ .,11,1
wine,two words : free $t$ .,4,1
price,the $t$ is reasonable although the service is poor .,1,1
service,the price is reasonable although the $t$ is poor .,6,-1
quantity,"the $t$ is also very good , you will come out satisfied .",1,1
sushi,"i stumbled upon this second floor walk - up two fridays ago when i was with two friends in town from l . a . being serious $t$ lovers , we sat at the sushi bar to be closer to the action .",27,0
sushi bar,"i stumbled upon this second floor walk - up two fridays ago when i was with two friends in town from l . a . being serious sushi lovers , we sat at the $t$ to be closer to the action .",34,0
fried rice,the $t$ is amazing here .,1,1
courses,"three $t$ - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",1,0
mussels,"three courses - choices include excellent $t$ , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",6,1
puff pastry goat cheese,"three courses - choices include excellent mussels , $t$ and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",8,1
salad with a delicious dressing,"three courses - choices include excellent mussels , puff pastry goat cheese and $t$ , and a hanger steak au poivre that is out of this world .",13,1
hanger steak au poivre,"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a $t$ that is out of this world .",21,1
indian food,it ' s a perfect place to have a amanzing $t$ .,10,1
place,the $t$ is so cool and the service is prompt and curtious .,1,1
service,the place is so cool and the $t$ is prompt and curtious .,7,1
broth with noodles,at the end you ' re left with a mild $t$ that you can slurp out of a cup .,10,1
meal,i just wonder how you can have such a delicious $t$ for such little money .,10,1
money,i just wonder how you can have such a delicious meal for such little $t$ .,14,1
wine list,the $t$ is excellent .,1,1
thai food,"ive been to many thai restaurants in manhattan before , and toons is by far the best $t$ ive had ( except for my mom ' s of course ) .",17,1
glass of wine,they wouldnt even let me finish my $t$ before offering another .,7,0
specials,"whem asked , we had to ask more detailed questions so that we knew what the $t$ were .",16,0
dine,this is a consistently great place to $t$ for lunch or dinner .,7,1
lunch,this is a consistently great place to dine for $t$ or dinner .,9,0
dinner,this is a consistently great place to dine for lunch or $t$ .,11,0
atmosphere,"nice $t$ , the service was very pleasant and the desert was good .",1,1
service,"nice atmosphere , the $t$ was very pleasant and the desert was good .",4,1
desert,"nice atmosphere , the service was very pleasant and the $t$ was good .",10,1
bar,after really enjoying ourselves at the $t$ we sat down at a table and had dinner .,6,1
table,after really enjoying ourselves at the bar we sat down at a $t$ and had dinner .,12,0
dinner,after really enjoying ourselves at the bar we sat down at a table and had $t$ .,15,0
service,"fabulous $t$ , fantastic food , and a chilled out atmosphere and environment .",1,1
food,"fabulous service , fantastic $t$ , and a chilled out atmosphere and environment .",4,1
atmosphere,"fabulous service , fantastic food , and a chilled out $t$ and environment .",10,1
environment,"fabulous service , fantastic food , and a chilled out atmosphere and $t$ .",12,1
lasagnette appetizer,try the $t$ .,2,1
beer selection,i liked the $t$ !,3,1
food,"great $t$ , good size menu , great service and an unpretensious setting .",1,1
menu,"great food , good size $t$ , great service and an unpretensious setting .",5,1
service,"great food , good size menu , great $t$ and an unpretensious setting .",8,1
setting,"great food , good size menu , great service and an unpretensious $t$ .",12,1
dinner,go here for a romantic $t$ but not for an all out wow dining experience .,5,1
dining,go here for a romantic dinner but not for an all out wow $t$ experience .,13,1
dosa,i grew up eating $t$ and have yet to find a place in ny to satisfy my taste buds .,4,0
wine list selection,$t$ is good and wine - by - the - glass was generously filled to the top .,0,1
glass,wine list selection is good and wine - by - the - $t$ was generously filled to the top .,12,1
menu,"with the great variety on the $t$ , i eat here often and never get bored .",6,1
menu,the $t$ is very limited - i think we counted 4 or 5 entrees .,1,-1
entrees,the menu is very limited - i think we counted 4 or 5 $t$ .,13,-1
menu,the $t$ is limited but almost all of the dishes are excellent .,1,-1
dishes,the menu is limited but almost all of the $t$ are excellent .,9,1
sake martini,not too crazy about their $t$ .,5,-1
bagels,"great $t$ , spreads and a good place to hang out in .",1,1
spreads,"great bagels , $t$ and a good place to hang out in .",3,1
table,one thing i liked about this place is that i never felt rushed or pressured to give up my $t$ ot incoming guests .,19,0
food,"unfortunately , the $t$ is outstanding , but everything else about this restaurant is the pits .",3,1
meal,we always have a delicious $t$ and always leave feeling satisfied .,5,1
ingredients,"dip the $t$ in with your chopsticks , swirl them around , and eat .",2,0
chopsticks,"dip the ingredients in with your $t$ , swirl them around , and eat .",6,0
garden terrace,first went here to enjoy their $t$ .,6,1
pizza,the $t$ was pretty good and huge .,1,1
cuisine,"the $t$ from what i ' ve gathered is authentic taiwanese , though its very different from what i've been accustomed to in taipei .",1,0
atmosphere,i almost hesititate to write a review because the $t$ was so great and i would hate for it too become to crowded .,9,1
crowded,they are often $t$ on the weekends but they are efficient and accurate with their service .,3,-1
service,they are often crowded on the weekends but they are efficient and accurate with their $t$ .,15,1
dish,all my co - workers were amazed at how small the $t$ was .,11,-1
atmosphere,"the $t$ is unheralded , the service impecible , and the food magnificant .",1,1
service,"the atmosphere is unheralded , the $t$ impecible , and the food magnificant .",6,1
food,"the atmosphere is unheralded , the service impecible , and the $t$ magnificant .",11,1
grilled branzino,"we ordered the special , $t$ , that was so infused with bone , it was difficult to eat .",5,-1
wait staff,"the $t$ is friendly , and the food has gotten better and better !",1,1
food,"the wait staff is friendly , and the $t$ has gotten better and better !",8,1
packed,"it may be a bit $t$ on weekends , but the vibe is good and it is the best french food you will find in the area .",5,-1
vibe,"it may be a bit packed on weekends , but the $t$ is good and it is the best french food you will find in the area .",11,1
french food,"it may be a bit packed on weekends , but the vibe is good and it is the best $t$ you will find in the area .",19,1
place,right off the l in brooklyn this is a nice cozy $t$ with good pizza .,11,1
pizza,right off the l in brooklyn this is a nice cozy place with good $t$ .,14,1
theater menu,le pere pinard has a $15 pre - $t$ that is outstanding .,8,1
delivery,i also ordered for $t$ and the restaurant forgot half the order .,4,-1
order,i also ordered for delivery and the restaurant forgot half the $t$ .,11,-1
server,our $t$ checked on us maybe twice during the entire meal .,1,-1
meal,our server checked on us maybe twice during the entire $t$ .,10,0
scents,the strong $t$ coming from the left and right of me negatively affected my taste buds .,2,-1
lobster sandwich,we had the $t$ and it was fantastic .,3,1
check,"had we been stalling i could understand where they were coming from , but we had been there less than an hour and they hadn ' t even brought us a $t$ yet !",31,-1
shell crab,"though the spider roll may look like a challenge to eat , with soft $t$ hanging out of the roll , it is well worth the price you pay for them .",14,1
price,"though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the $t$ you pay for them .",27,1
deep fried skewers,$t$ are good and still rare to find in nyc .,0,1
reservations,"i have tried to make $t$ , but both times , the hostess didn ' t have my name .",5,0
hostess,"i have tried to make reservations , but both times , the $t$ didn ' t have my name .",12,-1
rice dishes,i also recommend the $t$ or the different varieties of congee ( rice porridge ) .,4,1
congee ( rice porridge,i also recommend the rice dishes or the different varieties of $t$ ) .,11,1
tuna tartar appetizer,their $t$ is to die for .,1,1
cuisine,"an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine $t$ - chef ' s passion ( and kitchen ' s precise execution ) is most evident in the fish dishes and soups .",19,1
chef ' s,"an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - $t$ passion ( and kitchen ' s precise execution ) is most evident in the fish dishes and soups .",21,1
kitchen ' s,"an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef ' s passion ( and $t$ precise execution ) is most evident in the fish dishes and soups .",27,1
fish dishes,"an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef ' s passion ( and kitchen ' s precise execution ) is most evident in the $t$ and soups .",38,1
soups,"an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef ' s passion ( and kitchen ' s precise execution ) is most evident in the fish dishes and $t$ .",41,1
wine,"if you love $t$ and cheese and delicious french fare , you ' ll love artisanal !",3,1
cheese,"if you love wine and $t$ and delicious french fare , you ' ll love artisanal !",5,1
french fare,"if you love wine and cheese and delicious $t$ , you ' ll love artisanal !",8,1
indian food,i love $t$ and consider myself to be quite an expert on it .,2,1
baby pizzas,some $t$ get their wish .,1,0
waiting,overall a oh ya even though there is $t$ it is deff worth it,8,-1
lava cake dessert,the $t$ was incredible and i recommend it .,1,1
baby pizzas,vt is what $t$ hope to be when they grow up .,3,0
service,"from the terrible $t$ , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",3,-1
food,"from the terrible service , to the bland $t$ , not to mention the unaccommodating managers , the overall experience was horrible .",8,-1
managers,"from the terrible service , to the bland food , not to mention the unaccommodating $t$ , the overall experience was horrible .",15,-1
food,lahore is a great place to duck into late - night when you need some really tasty $t$ on the cheap - - you ' ll likely have trouble finishing the amount of food you get for four dollars .,17,1
food,lahore is a great place to duck into late - night when you need some really tasty food on the cheap - - you ' ll likely have trouble finishing the amount of $t$ you get for four dollars .,33,1
table,the last time i went we were seated at a $t$ in a corridor next to the kitchen .,10,-1
selection of wines,good $t$ ranging from affordable to high end .,1,1
italian decor,"nice restaurant overall , with classic upscale $t$ .",7,1
food,not impressed with the $t$ .,4,-1
dining experience,the entire $t$ was wonderful !,2,1
wine selection,the $t$ ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they ' re going to be in town .,1,1
reservation,the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a $t$ if they ' re going to be in town .,20,0
service,$t$ is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress .,0,1
reservation,service is highly refined : our seating was delayed 35 minutes past our $t$ and the maitre d ' apologized and regularly kept us apprised of progress .,13,-1
maitre,service is highly refined : our seating was delayed 35 minutes past our reservation and the $t$ d ' apologized and regularly kept us apprised of progress .,16,1
panang duck,"order the $t$ , it ' s fantastic .",2,1
raw vegatables,"food is usually very good , though ocasionally i wondered about freshmess of $t$ in side orders .",13,-1
service,"other than the crappy $t$ from two individuals , it ' s great .",4,-1
indian,they have authentic $t$ at amazin prices .,3,1
prices,they have authentic indian at amazin $t$ .,6,1
ambiance,$t$ relaxed and stylish .,0,1
bbq salmon,"luckily we saved room for the $t$ , sea bass and crispy duck .",6,1
sea bass,"luckily we saved room for the bbq salmon , $t$ and crispy duck .",9,1
crispy duck,"luckily we saved room for the bbq salmon , sea bass and $t$ .",12,1
ingredients,"yes , they use fancy $t$ , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the crust right .",5,1
ingredients,"yes , they use fancy ingredients , but even fancy $t$ don ' t make for good pizza unless someone knows how to get the crust right .",10,1
pizza,"yes , they use fancy ingredients , but even fancy ingredients don ' t make for good $t$ unless someone knows how to get the crust right .",17,-1
crust,"yes , they use fancy ingredients , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the $t$ right .",25,0
dal bukhara,and yes $t$ is so dam good and so are all the kababs .,2,1
kababs,and yes dal bukhara is so dam good and so are all the $t$ .,13,1
eating,i look forward to $t$ here again,4,1
taste,i ' ve been coming here as a child and always come back for the $t$ .,15,1
meal,tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good $t$ at a fair price .,18,1
price,tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair $t$ .,22,1
glass of leaping lizard,"a $t$ , a glass of prosecco , and the mussels had everything happy .",1,1
glass of prosecco,"a glass of leaping lizard , a $t$ , and the mussels had everything happy .",7,1
mussels,"a glass of leaping lizard , a glass of prosecco , and the $t$ had everything happy .",13,1
food,"$t$ was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .",0,0
creme brulee,"food was average and $t$ was awful - the sugar was charred , not caramelized and smelled of kerosene .",4,-1
sugar,"food was average and creme brulee was awful - the $t$ was charred , not caramelized and smelled of kerosene .",10,-1
food,the $t$ always tastes fresh and served promptly .,1,1
served,the food always tastes fresh and $t$ promptly .,6,1
pizza,the $t$ here is delicious .,1,1
pizza,"$t$ and garlic knots are great as well , i order from them quite often and the delivery is always super quick !",0,1
garlic knots,"pizza and $t$ are great as well , i order from them quite often and the delivery is always super quick !",2,1
delivery,"pizza and garlic knots are great as well , i order from them quite often and the $t$ is always super quick !",17,1
chinese food,"for great $t$ nearby , you have wu liang ye and grand sichuan just a block away .",2,1
service,but who says murray ' s is anything about $t$ .,9,0
food,"this place is really trendi but they have forgotten about the most important part of a restaurant , the $t$ .",19,-1
chef,hats off to the $t$ .,4,1
service,"$t$ could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique - seeming teapot , for one ) in the restaurant experience .",0,-1
teapot,"service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique - seeming $t$ , for one ) in the restaurant experience .",26,1
pizza,"the $t$ is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",1,1
fresh mozzarella,"the pizza is delicious - they use $t$ instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",7,1
cheese,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded $t$ common to most pizzaria ' s .",17,-1
place,its an excellent $t$ to relax and the food is one of the best in the city of new york .,3,1
food,its an excellent place to relax and the $t$ is one of the best in the city of new york .,8,1
service,"$t$ is friendly , and never had a problem walking in and getting a table .",0,1
getting a table,"service is friendly , and never had a problem walking in and $t$ .",12,1
type vibe,the atmosphere was crowded but it was a great bistro - $t$ .,11,1
waitress,"first off , the $t$ was completely unattentive the 2 times we saw her ( odd in a restaurant with 6 tables ) and got our order wrong .",4,-1
tables,"first off , the waitress was completely unattentive the 2 times we saw her ( odd in a restaurant with 6 $t$ ) and got our order wrong .",21,0
food,the $t$ was bland oily .,1,-1
prices,"what is even better , is that the $t$ are very affordable as well , and the food is really good .",8,1
food,"what is even better , is that the prices are very affordable as well , and the $t$ is really good .",17,1
fish,the $t$ is fresh but the variety of fish is nothing out of ordinary .,1,1
variety of fish,the fish is fresh but the $t$ is nothing out of ordinary .,6,-1
meal,"our favorite $t$ is a pesto pizza , the house salad , and a good bottle of wine .",2,1
pesto pizza,"our favorite meal is a $t$ , the house salad , and a good bottle of wine .",5,1
house salad,"our favorite meal is a pesto pizza , the $t$ , and a good bottle of wine .",9,1
bottle of wine,"our favorite meal is a pesto pizza , the house salad , and a good $t$ .",15,1
beverage manager,"and kruno , the $t$ is the best bartender i have yet to come across .",4,1
bartender,"and kruno , the beverage manager is the best $t$ i have yet to come across .",9,1
ambiance,"$t$ and music funky , which i enjoy .",0,1
music,"ambiance and $t$ funky , which i enjoy .",2,1
food,"the $t$ , drinks and service are clearly among the best in the city .",1,1
drinks,"the food , $t$ and service are clearly among the best in the city .",3,1
service,"the food , drinks and $t$ are clearly among the best in the city .",5,1
food,i went there in late afternoon for some bite size $t$ and refleshment with my date .,10,0
refleshment,i went there in late afternoon for some bite size food and $t$ with my date .,12,0
ambiance,"i understand the area and folks you need not come here for the romantic , alluring $t$ or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .",16,1
service,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star $t$ featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .",21,1
sommlier,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a $t$ and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .",24,1
captain,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of $t$ and back waiters - you come for the authentic foods , the tastes , the experiance .",30,1
back waiters,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and $t$ - you come for the authentic foods , the tastes , the experiance .",32,1
foods,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic $t$ , the tastes , the experiance .",40,1
tastes,"i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the $t$ , the experiance .",43,1
waitress,"last time i went here , the $t$ didn ' t come back after taking our order .",7,-1
tandoori salmon,try the $t$ !,2,1
atmosphere,"eating in , the $t$ saves it , but at your desk , it ' s a very disappointing experience .",4,1
space,"granted the $t$ is smaller than most , it is the best service you will find in even the largest of restaurants .",2,-1
service,"granted the space is smaller than most , it is the best $t$ you will find in even the largest of restaurants .",12,1
atmorphere,i love the $t$ @ peep !,3,1
service,the $t$ was attentive and her suggestions of menu items was right on the mark .,1,1
menu items,the service was attentive and her suggestions of $t$ was right on the mark .,8,1
three course meal,the other night we had the $30 $t$ and everything was delicious - if i could of licked the plate clean i would of .,7,1
pizza,"even after getting pushed out by the no - class famous ray ' s , sal has risen again to carry on his father ' s uncle ' s legacies with a smile , true love for his community , and let ' s not forget the outstanding $t$ !",48,1
environment,"the $t$ is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",1,1
food,"the environment is romantic , but the $t$ is horrible , the service is pathetic , and gabriella lies about everything she could .",7,-1
service,"the environment is romantic , but the food is horrible , the $t$ is pathetic , and gabriella lies about everything she could .",12,-1
crawfish boiled,"we had $t$ and despite making a mess , it was a ton of fun and quite tasty as well .",2,1
reservation,i had very high expectations for this place and made a $t$ a couple of months in advance for a special occasion .,11,0
table,what came to our $t$ was burned beyond recognition and stringy .,4,0
pad thai,i had the $t$ and the noodles were sticky .,3,-1
noodles,i had the pad thai and the $t$ were sticky .,7,-1
delivered,"so i ' ve never actually been to m proper , but i ' ve had it $t$ a few times .",17,0
values for your money,"among all of the new 5th avenue restaurants , this offers by far one of the best $t$ .",17,1
lunch,"frankly , when you compare what you can have here for $t$ , versus mcds or so many other sandwich shops in the city , there is no comparison .",11,1
hostess,the $t$ is rude to the point of being offensive .,1,-1
food,"if you ' re craving for haru ' s great $t$ , especially the house roll , but can ' t stand the wait building outisde , head across the street to their sake bar !",10,1
wait building,"if you ' re craving for haru ' s great food , especially the house roll , but can ' t stand the $t$ outisde , head across the street to their sake bar !",23,-1
corridor,"a narrow $t$ leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12 - 14 entrees .",2,-1
space,"a narrow corridor leads to a tiny $t$ where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12 - 14 entrees .",7,-1
counters,"a narrow corridor leads to a tiny space where there are three tiny white tiled $t$ , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12 - 14 entrees .",15,-1
counter,"a narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small $t$ holding 12 - 14 entrees .",32,-1
entrees,"a narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12 - 14 $t$ .",37,0
food,the $t$ is great .,1,1
steaks,succulent $t$ cooked precisely to your desired ' doneness ' accompanied by salads and sides that don ' t look like leafy road kill .,1,1
salads,succulent steaks cooked precisely to your desired ' doneness ' accompanied by $t$ and sides that don ' t look like leafy road kill .,12,1
sides,succulent steaks cooked precisely to your desired ' doneness ' accompanied by salads and $t$ that don ' t look like leafy road kill .,14,1
lunch,"$t$ came with pickels and slaw , no extra charge .",0,1
pickels and slaw,"lunch came with $t$ , no extra charge .",3,0
wine,decent $t$ at reasonable prices .,1,1
prices,decent wine at reasonable $t$ .,4,1
delivered,all conveniently $t$ right to the door .,2,1
wine by the glass,even the $t$ was good .,2,1
price,would have rather tried terrace in the sky or water club for that $t$,13,-1
dish,this $t$ is my favorite and i always get it when i go there and never get tired of it .,1,1
change mojito,"i also ordered the $t$ , which was out of this world .",4,1
service,okay $t$ .,1,0
food,the only thing more wonderful than the $t$ ( which is exceptional ) is the service .,7,1
service,the only thing more wonderful than the food ( which is exceptional ) is the $t$ .,15,1
food,"the $t$ was just awful , atrocious actually .",1,-1
soup for the udon,the $t$ was soy sauce and water .,1,-1
soy sauce,the soup for the udon was $t$ and water .,6,0
water,the soup for the udon was soy sauce and $t$ .,9,0
pasta,"the anti - $t$ was excellent , especially the calamari , as were the filling pasta mains .",3,1
calamari,"the anti - pasta was excellent , especially the $t$ , as were the filling pasta mains .",9,1
filling pasta mains,"the anti - pasta was excellent , especially the calamari , as were the $t$ .",14,1
waitress,the $t$ suggested glasses of wine that went very well with the food .,1,1
glasses of wine,the waitress suggested $t$ that went very well with the food .,3,1
food,the waitress suggested glasses of wine that went very well with the $t$ .,12,0
counter,"they might be all business at the $t$ when you give your order , but their food says i love you .",7,-1
food,"they might be all business at the counter when you give your order , but their $t$ says i love you .",16,1
sushi,"we are very particular about $t$ and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",5,1
ceviche mix ( special,"we are very particular about sushi and were both please with every choice which included : $t$ ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",16,1
crab dumplings,"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , $t$ , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",22,1
assorted sashimi,"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , $t$ , sushi and rolls , two types of sake , and the banana tempura .",25,1
sushi,"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , $t$ and rolls , two types of sake , and the banana tempura .",28,1
rolls,"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and $t$ , two types of sake , and the banana tempura .",30,1
sake,"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of $t$ , and the banana tempura .",35,1
banana tempura,"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the $t$ .",39,1
plain pizza,try their $t$ with fresh garlic or eggplant .,2,1
garlic,try their plain pizza with fresh $t$ or eggplant .,6,1
eggplant,try their plain pizza with fresh garlic or $t$ .,8,1
servers,"ok , so the $t$ wander around a little clueless , but there ' s more than enough servers for the crowd they get - - it ' s fine , you just have to make a small effort to get their attention .",4,-1
getting a table,good luck $t$ .,2,-1
service,the $t$ is awful .,1,-1
takeout menu,"the $t$ says to keep an eye out for an expanded menu offering more italian dishes , i can ' t wait !",1,1
menu,"the takeout menu says to keep an eye out for an expanded $t$ offering more italian dishes , i can ' t wait !",12,1
italian dishes,"the takeout menu says to keep an eye out for an expanded menu offering more $t$ , i can ' t wait !",15,1
thai food,"i am not the most experienced person when it comes to $t$ , but my friend who took me there is .",11,0
hostess,regardless of whether there are two people or two hundred people ahead of you the $t$ will take your name and tell you five minutes .,15,1
pizza,the $t$ is good though .,1,1
bottles of wine,$t$ are cheap and good .,0,1
beers,"the have over 100 different $t$ to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .",5,1
food,"the have over 100 different beers to offer thier guest so that made my husband very happy and the $t$ was delicious , if i must recommend a dish it must be the pumkin tortelini .",19,1
dish,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a $t$ it must be the pumkin tortelini .",28,1
pumkin tortelini,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the $t$ .",33,1
dinner special,they didn ' t give us the $t$ until we asked for it .,7,-1
crabmeat lasagna,you must have the $t$ which is out of this world and the chocolate bread pudding for dessert .,4,1
chocolate bread pudding,you must have the crabmeat lasagna which is out of this world and the $t$ for dessert .,14,1
